epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6731078624725342,9.999999747378752e-05,0.7480239868164062,0.8120300769805908,0.4990074932575226
1,0.8937197923660278,9.999999747378752e-05,0.2925482988357544,0.8909774422645569,0.31125831604003906
2,0.9186795353889465,9.999999747378752e-05,0.20571881532669067,0.9248120188713074,0.23376059532165527
3,0.9291465282440186,9.999999747378752e-05,0.17300675809383392,0.8796992301940918,0.3208189904689789
4,0.9468598961830139,9.999999747378752e-05,0.1478854864835739,0.8796992301940918,0.3548520803451538
5,0.9629629850387573,9.999999747378752e-05,0.12092132121324539,0.9172932505607605,0.19982445240020752
6,0.9653784036636353,9.999999747378752e-05,0.10045027732849121,0.932330846786499,0.19236473739147186
7,0.9750402569770813,9.999999747378752e-05,0.0789489671587944,0.9060150384902954,0.2580181360244751
8,0.9734299778938293,9.999999747378752e-05,0.07287604361772537,0.88345867395401,0.3612378239631653
9,0.977455735206604,9.999999747378752e-05,0.06503632664680481,0.9210526347160339,0.2605610489845276
10,0.9742351174354553,9.999999747378752e-05,0.07772373408079147,0.8909774422645569,0.37641334533691406
11,0.9847021102905273,1.9999999494757503e-05,0.04722434654831886,0.8947368264198303,0.38728946447372437
12,0.9830917716026306,1.9999999494757503e-05,0.04127943143248558,0.9060150384902954,0.3585476875305176
13,0.9871175289154053,1.9999999494757503e-05,0.039743758738040924,0.902255654335022,0.3625279366970062
14,0.9814814925193787,1.9999999494757503e-05,0.04916851595044136,0.8984962701797485,0.3898531198501587
