epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7579365372657776,9.999999747378752e-05,0.5819348096847534,0.8222222328186035,0.4099397659301758
1,0.920634925365448,9.999999747378752e-05,0.2169627547264099,0.8074073791503906,0.40181076526641846
2,0.9428571462631226,9.999999747378752e-05,0.14600497484207153,0.729629635810852,0.6656925082206726
3,0.9611111283302307,9.999999747378752e-05,0.10351923108100891,0.7148148417472839,0.7208747267723083
4,0.9714285731315613,9.999999747378752e-05,0.08093143254518509,0.7518518567085266,0.6397843360900879
5,0.9793650507926941,1.9999999494757503e-05,0.06277631968259811,0.7814815044403076,0.5633584260940552
6,0.9793650507926941,1.9999999494757503e-05,0.05281597375869751,0.8074073791503906,0.4970150887966156
7,0.9888888597488403,1.9999999494757503e-05,0.0439201183617115,0.8222222328186035,0.4375578761100769
8,0.9817460179328918,3.999999989900971e-06,0.04413061589002609,0.855555534362793,0.39364904165267944
9,0.9873015880584717,3.999999989900971e-06,0.04795490577816963,0.855555534362793,0.37335076928138733
10,0.9857142567634583,3.999999989900971e-06,0.04412388056516647,0.8814814686775208,0.3406631648540497
11,0.9857142567634583,3.999999989900971e-06,0.04584868997335434,0.8925926089286804,0.30027416348457336
12,0.9888888597488403,3.999999989900971e-06,0.039512548595666885,0.8999999761581421,0.2721603810787201
13,0.9896825551986694,3.999999989900971e-06,0.03847610205411911,0.9074074029922485,0.2561699151992798
14,0.9849206209182739,3.999999989900971e-06,0.04054633155465126,0.914814829826355,0.23572008311748505
15,0.9865079522132874,3.999999989900971e-06,0.04195976257324219,0.914814829826355,0.2184276282787323
16,0.988095223903656,3.999999989900971e-06,0.04349377006292343,0.9222221970558167,0.2032736986875534
17,0.9865079522132874,3.999999989900971e-06,0.039575301110744476,0.9222221970558167,0.19151614606380463
18,0.9944444298744202,3.999999989900971e-06,0.03017137572169304,0.9222221970558167,0.1819484382867813
19,0.9904761910438538,3.999999989900971e-06,0.03376782312989235,0.9259259104728699,0.1690244972705841
20,0.9960317611694336,3.999999989900971e-06,0.026734013110399246,0.9370370507240295,0.1567090004682541
21,0.9928571581840515,3.999999989900971e-06,0.02959737367928028,0.9407407641410828,0.1466590017080307
22,0.9888888597488403,3.999999989900971e-06,0.03612016886472702,0.9444444179534912,0.13865064084529877
23,0.9888888597488403,3.999999989900971e-06,0.03757055476307869,0.9444444179534912,0.13268202543258667
24,0.9904761910438538,3.999999989900971e-06,0.03230314701795578,0.9481481313705444,0.13346660137176514
