epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.738095223903656,0.0010000000474974513,0.6049997210502625,0.8703703880310059,0.28297165036201477
1,0.8920634984970093,0.0010000000474974513,0.2875876724720001,0.8962963223457336,0.2430037260055542
2,0.9166666865348816,0.0010000000474974513,0.2154308259487152,0.9222221970558167,0.20097970962524414
3,0.9293650984764099,0.0010000000474974513,0.18147769570350647,0.9259259104728699,0.20822209119796753
4,0.9293650984764099,0.0010000000474974513,0.1804260015487671,0.9444444179534912,0.14194361865520477
5,0.9436507821083069,0.0010000000474974513,0.1428542584180832,0.9259259104728699,0.16489043831825256
6,0.9563491940498352,0.0010000000474974513,0.1309729367494583,0.9333333373069763,0.17281295359134674
7,0.9515873193740845,0.0010000000474974513,0.12430783361196518,0.9481481313705444,0.1310908943414688
8,0.9555555582046509,0.0010000000474974513,0.11489500105381012,0.9370370507240295,0.15456560254096985
9,0.9611111283302307,0.0010000000474974513,0.11508972197771072,0.9444444179534912,0.15259119868278503
10,0.9674603343009949,0.0010000000474974513,0.08785530924797058,0.9222221970558167,0.1975981891155243
11,0.9690476059913635,0.0003000000142492354,0.08570460230112076,0.9222221970558167,0.19961531460285187
12,0.9626984000205994,0.0003000000142492354,0.08884710818529129,0.9259259104728699,0.18387894332408905
13,0.9730158448219299,0.0003000000142492354,0.07170850038528442,0.9259259104728699,0.19851277768611908
